,summary,correct,rouge1,rouge2,rougeL,rougeLsum
251,"James Brennan var en amerikansk skuespiller.
Han var en av de mest populære skuespillerne i 1930-årene, og huskes blant annet for sin rolle i The Adventures of Tom Sawyer (Tom Sawyers bedrifter, 1938) og i John Fords My Darling Clementine (Hevnerne fra Tombstone, 1946).","Walter Brennan var en amerikansk filmskuespiller.
Han er en av Hollywoods betydeligste og flittigste karakterskuespillere.",26.2295,13.5593,26.2295,26.2295
252,"Commonwealth er et begrep som brukes om en rekke stater, blant annet Storbritannia, Australia, New Zealand, Bahamas og Puerto Rico.","Commonwealth, ofte oversatt som stat, samfunn, samvelde, er et uttrykk med litt varierende betydning, oftest underforstått som en lovstyrt eller folkestyrt enhet.",23.2558,4.878,23.2558,23.2558
253,"CinemaScope er et filmformat som ble utviklet av filmprodusentene 20th Century Fox og Panavision i 1950-årene.
Systemet ble lansert første gang i 1953.","Cinemascope, system for opptak og fremvisning av kinofilmer i bredformat på filmmateriale med normal bredde, dvs.
35mm.
Systemet er basert på såkalte anamorfiske linser, som «presser» filmbildet sammen i bredden ved opptak og «utvider» det igjen ved fremvisning.
Sideforholdet på CinemaScope-filmbildet var opprinnelig 2.55:1, men formatet fungerte best i 2.35:1, og med firespors stereolyd.
Linsene ble i hovedsak brukt fra 1953 til sent på 1960-tallet.",20.6186,0.0,16.4948,18.5567
254,"Bardu er en kommune i Troms og Finnmark fylke.
Kommunen omfatter Østerdalen i nordøst, Barduelva i sørøst og Målselv i vest.","Bardu er en kommune i Troms og Finnmark fylke, opprettet som egen kommune ved utskillelse fra Ibestad i 1854.
Bardu omfatter Bardudalen med dens øvre del Østerdalen og Altevatnet ovenfor, likeledes sidedalene Salangsdalen og Sørdalen i vest, samt store fjellområder omkring.
Disse strekker seg helt i til riksgrensen mot Sverige i øst og sør.",46.3415,27.5,36.5854,41.4634
255,"Agni er en gud i indisk mytologi og religion.
Han er sønn av guden Vishnu.","Agni er ildens gud i indisk mytologi og spiller en viktig rolle i den eldste vediske religionen.
Agni er både gud og selve elementet ild (samme ord som latin ignis, «ild»).",37.5,21.7391,33.3333,33.3333
256,"Malamut er en amerikansk spisshund.
Den er en av de eldste hunderasene i USA.","Alaskan malamute er en amerikansk hunderase.
Denne polare spisshundrasen har navn etter inuitstammen Mahlemute.
Den anvendes nå vesentlig som trekkhund.",29.4118,18.75,29.4118,29.4118
257,"Aust-Agder var et tidligere fylke i Agder fylke.
Fylket ble opprettet i 1919, og ble slått sammen med Vestfold og Telemark i 2021.","Aust-Agder var et norsk fylke.
Det ble slått sammen med Vest-Agder i 2020, og ble en del av Agder fylke.
Sammenslåingen var del av en regionreform som ble vedtatt av Stortinget i 2017.
Aust-Agder er fortsatt valgdistrikt ved stortingsvalg.",46.3768,26.8657,34.7826,43.4783
258,"Cher er et departement i Frankrike, i regionen Centre-Val de Loire.
Det ligger i det sørlige Frankrike, mellom Loire og Loire-Atlantique.
Hovedstad er Bourges.","Cher er et departement i det midtre Frankrike.
Det ligger i den sørøstlige delen av regionen Centre-Val de Loire.
Departementet har et areal på 7235 kvadratkilometer og omtrent 304 000 innbyggere (2017).
Hovedstaden er Bourges.",58.4615,38.0952,46.1538,58.4615
259,"Hans Cappelen var en norsk komponist og organist.
Han var organist i Den norske kirke i perioden 1891–1895, og var særlig kjent for sin melodi til «Min lodd falt mig liflig», som inngikk i Kantaten til Diakonissehjemmets 25-årsjubileum i 1894.","Christian Cappelen var en norsk organist og komponist.
Han studerte med Ludvig Mathias Lindeman og ved musikkonservatoriet i Leipzig.
Etter 20 år som organist i Drammen (Strømsø og Bragernes) ble han i 1887 organist ved Vår Frelsers kirke (Domkirken) i Kristiania, en stilling han beholdt til sin død i 1916.
Han fikk dermed en fremtredende posisjon i norsk kirkemusikk.
Fra 1890 til 1916 var han også lærer i messesang ved det praktisk-teologiske seminar ved Universitetet.",35.7724,6.6116,24.3902,29.2683
260,"Blokkode er en kode som brukes til å overføre digitale signaler.
Blokkode brukes blant annet i kringkasting av fjernsynssignaler på digital form, DVB.","Blokkode er koding som brukes for å beskytte data mot feil ved overføring.
Koderen opererer på datablokker med et fast antall K symboler.
For hver blokk med K informasjonssymboler genereres et antall P paritetssymboler som legges til informasjonssymbolene.
De N = (K + P) symbolene overføres til mottakeren, og de P paritetssymbolene gjør det mulig for dekoderen å detektere og potensielt korrigere feil i de overførte symbolene.",20.0,6.8182,17.7778,17.7778
261,"James Buzo var en australsk dramatiker.
Han ble født i New South Wales, men flyttet til Australia i 1946.
Buzo skrev skuespill i flere sjangre, blant annet historisk drama, lystspill, filmmanus og romaner.","Alexander Buzo var en australsk forfatter og en av fornyerne av australsk drama.
Flere av hans prisbelønnede skuespill er blitt satt opp i utlandet.",33.8983,10.5263,23.7288,27.1186
262,Beatrice er eit kvinnenamn som går tilbake til det latinske Benedicta som tyder ‘gudinne’ og etterleddet ‘vakker’.,Beatrice er eit fransk kvinnenamn som via italiensk går tilbake til latin Beatrix laga til latin beatus som tyder ‘lykkeleg’.,56.4103,37.8378,56.4103,56.4103
263,"Jean-Baptiste Bernardin var en fransk forfatter.
Han var en av romantikkens fremste representanter for den franske romantikken, og regnes som en av de viktigste forløperne for romantikken i Frankrike.","Bernardin de Saint-Pierre var en fransk forfatter, venn og elev av Jean-Jacques Rousseau.
Han var marineoffiser, og foretok omfattende reiser, og hadde et lengre opphold på øya Mauritius (da Ile de France).",33.8462,12.6984,27.6923,30.7692
264,"Pierre Derain var en fransk maler.
Han var en av de mest betydningsfulle franske malerne i første halvdel av 1900-tallet.","André Derain var en fransk maler, grafiker og billedhugger.
Han var med på å skape fauvismen omkring 1905, og sammen med Henri Matisse og Maurice de Vlaminck ble han en av bevegelsens frontfigurer.
Senere gjorde han seg også bemerket innen både kubismen og nyrealismen.",30.303,18.75,30.303,30.303
265,Drikkevann er vann som er i stand til å løse opp salter og andre stoffer som finnes i vannet.,"Drikkevann er ferskvann av en slik kvalitet at det kan drikkes av mennesker og landdyr.
Som kilder for drikkevann brukes vann fra elver, innsjøer (overflatevann) og berggrunnen (grunnvann).
I enkelte tilfeller brukes også regnvann.
I enkelte strøk med lite nedbør benyttes avsaltet havvann som drikkevann.",26.8657,3.0769,17.9104,23.8806
266,"Dragkamp er en idrett hvor man slår et tau med hendene i bevegelse.
I denne idretten er det to lag som konkurrerer mot hverandre.",Dragkamp er en idrett hvor to åttemannslag tar tak i hver ende av et tau og prøver å trekke motstanderne minst fire meter fremover og forbi et merke.,33.9623,19.6078,26.4151,30.1887
267,Marc Bloch og Lucien Febvre var to franske historikere som ble utdannet ved universitetet i Paris i 1929.,"Annales-skolen er en fransk historievitenskapelig retning som ser på historien som resultatet av et samspill mellom økonomiske, samfunnsmessige og kulturelle faktorer.
Skolen fikk navn etter tidsskriftet Annales d'histoire économique et sociale (nå Annales.
Histoire, Sciences Sociales), som ble grunnlagt i 1929 av historikerne Marc Bloch og Lucien Febvre.",29.4118,18.1818,14.7059,20.5882
268,"Cellulosenitrat er en kjemisk forbindelse av nitrogen og svovel.
Den kjemiske formelen til cellulosenitrat er C6H7O2(ONO2)3n.","Cellulosenitrat er en ester av cellulose og salpetersyre som tidligere ble mye brukt til å lage celluloid, celluloselakker og sprenggelatin.",32.4324,11.4286,32.4324,27.027
269,"Clementinene er en gruppe oldkirkelige skrifter som ble skrevet av pave Clemens 5 i perioden 211 til 231 evt.
Det er særlig tre skriftgrupper: Homiliae («prekener») og Epitomae («gjenkjennelser»).","Clementinene, eller den pseudoclementinske litteratur, er navnet på oldkirkelige skrifter som med urette tillegges Clemens Romanus.",26.087,9.0909,26.087,26.087
270,"DumDum Boys er et norsk rockeband som er kjent for sine fengende tekster og melodiøse tekster.
De har vunnet Spellemannprisen fire ganger, blant annet for albumet Blodig alvor (1989), Pstereo (1990), Ludium (1994), SUS (1996) og samleplata Schlägers (2001).",DumDum Boys er et norsk rockeband som har røtter i punk og new wave og har vunnet en fremtredende posisjon i norsk rock med sine intense konserter og plater.,33.8028,20.2899,30.9859,30.9859
271,"Pierre Bidault var en fransk politiker.
Han var Frankrikes statsminister i 1946 og i 1949–1950.","Georges Bidault var en fransk politiker (katolsk demokrat).
Han var Frankrikes statsminister i 1946 og fra 1949 til 1950.",80.0,60.6061,80.0,80.0
272,"Cyrano de Bergerac var en fransk forfatter og filosof.
Han ble født i Toulouse, og ble utdannet ved Collège de France.","Savinien Cyrano de Bergerac var en fransk forfatter.
Han forsøkte å gjøre karriere som militær og som sekretær for flere av Frankrikes ledende menn, men viste seg snart som en individualist med et voldsomt frihetsbehov.
I 1645 skrev han sitt første kjente verk, Le Pédant joué, en vittig komedie som blant andre Molière hentet impulser fra.
Tragedien La Mort d'Agrippine (1653) er preget av Pierre Corneilles idealer.",22.6804,12.6316,20.6186,20.6186
273,"Jean-Baptiste Boffrand var en fransk arkitekt.
Han var utdannet ved École des Beaux-Arts i Paris.","Germain Boffrand var en fransk arkitekt.
Han regnes som en av de fremste innen fransk rokokko-arkitektur.",35.2941,31.25,35.2941,35.2941
274,"Ekstremiteter er bevegelsesorganer hos encellede organismer.
Hos virveldyr er ekstremitetene støttet av et leddelt indre skjelett av brusk eller ben, som også tjener som feste for musklene.","Ekstremiteter er lemmer, fremspring på legemet som først og fremst står i bevegelsens tjeneste.
Egentlige ekstremiteter finnes bare hos leddyr og virveldyr.",23.0769,4.0,15.3846,19.2308
275,"Balmoral Castle er et slott i Storbritannia, Skottland, i grevskapet Braemar.
Slottet ligger i regionen Highland i Skottland.","Balmoral Castle er et gods og slott i Storbritannia, Skottland, ved elven Dee ca.
60 kilometer vest-sørvest for Aberdeen.
Det har har siden 1901 vært den britiske kongefamilies faste feriested i august/september hvert år (se Braemar).",34.4828,21.4286,34.4828,34.4828
276,"Bangladesh er et land i Sørøst-Asia.
Landet grenser til India i vest og Myanmar i øst, og til Pakistan i nord.
Hovedstad og største by er Dhaka.","Bangladesh omfatter den østlige del av Gangessletta.
Elvene Ganges og Brahmaputra (som ved grensen til Bangladesh går over til å hete henholdsvis Padma og Jamuna) samt Meghna preger landskapet.",20.0,0.0,13.3333,13.3333
277,"Benin er en republikk i det nordøstlige Afrika.
Landet grenser til Mali i nord, Burkina Faso i sør og Guineabukta i vest.
Hovedstaden er Ouagadougou.","Benins grunnlov trådte i kraft i 1991 etter en folkeavstemning i 1990.
Etter denne er Benin en presidentstyrt, flerpartibasert enhetsstat.
Presidenten velges i allmenne, direkte valg for fem år og kan gjenvelges én gang.
Presidenten leder regjeringen og utnevner selv ministrene, som formelt skal godkjennes av den lovgivende forsamling, nasjonalforsamlingen.
Den har 83 medlemmer og velges i allmenne, direkte valg for fire år.
Stemmerettsalderen er 18 år.",21.0526,2.1505,16.8421,21.0526
278,Dielektrisk tap er tap av elektrisk energi i et isolasjonsmateriale som ikke er elektrisk ledende.,Dielektrisk tap er tap av elektrisk energi i isolasjonsmaterialer som utsettes for høyfrekvente elektriske vekselspenninger.,70.9677,55.1724,70.9677,70.9677
279,"Lena Cronqvist er en svensk maler.
Hun er utdannet ved Statens håndverks- og kunstindustriskole.","Lena Cronqvist er en svensk maler og grafiker.
I sine ofte selvbiografiske motiver fremstiller hun oppvekst og morsrolle, psykisk sykdom, kjærlighet og død.
Cronqvists ekspressive penselføring og psykologiske motivkrets har hatt stor betydning for det selvbiografiske maleriet i svensk og nordisk kunst.",26.6667,17.2414,26.6667,26.6667
280,"Butan-2,3-dion er en kjemisk forbindelse av karbon og hydrogen.
Den kjemiske formelen er C6H5N.","Butan-2,3-dion er en kjemisk forbindelse som er gulfarget og flytende med en intens lukt, men som sterkt fortynna lukter som smør.
Kjemisk sett er det et diketon.",45.8333,30.4348,45.8333,45.8333
281,"Buvika er et tettsted i Skaun kommune i Trøndelag.
Tettstedet er ifølge SSBs definisjon 0,6 km2, og har 88 innbyggere (2022).","Buvika er en tettbebyggelse i Skaun kommune, Trøndelag, 20 kilometer sørvest for Trondheim, sammenvokst med Ilhaugen, se Buvika/Ilhaugen tettsted.
Buvika er et vekstområde med utstrakt pendling til Trondheim.",35.7143,18.5185,28.5714,32.1429
282,"Djupsjøen er en innsjø i Sigdal kommune i Viken fylke.
Den ligger i øvre del av Grindefjell.","Djupsjøen er et vann i Sigdal kommune, Viken fylke.
Vannet det ligger øst for Eggedal og like sørvest for Norefjell.",45.0,26.3158,45.0,45.0
283,"Abwehr var en tysk etterretningstjeneste som ble opprettet i 1933 for å forebygge spionasje, sabotasje og motstandsbevegelser.","Abwehr var den tyske militære overkommandos etterretningstjeneste i årene 1919–1945, frem til 1929 sterkt begrenset virksomhet.",29.4118,6.25,29.4118,29.4118
284,Ad hominem er et uttrykk som brukes om å trekke frem personlige forhold ved den man argumenterer mot.,"Argumentum ad hominem betyr et argument vedrørende mennesket.
Det brukes om motargument der det anføres noe om motstanderens person i stedet for saken, som når for eksempel en politiker går mot et forslag idet han påpeker at motstanderen fører et umoralsk liv eller strøk på en eksamen.",19.7183,5.7971,16.9014,16.9014
285,"Bøkfjord fyr er en fyrstasjon i Kirkenes kommune, Troms og Finnmark fylke.
Den ble opprettet i 1909 og avbemannet 15. desember 2006.","Bøkfjord fyr er en fyrstasjon ved innseilingen til Kirkenes i Sør-Varanger kommune, i Troms og Finnmark fylke.
Den ble opprettet som innseilingsfyr i 1910, automatisert i 1988 og avbemannet i 2006.",70.1754,43.6364,66.6667,70.1754
286,"Sellafield kraftverk er et britisk kjernekraftverk.
Kraftverket ligger i Storbritannia, i grevskapet Cumbria, ved Irskesjøen.","Calder Hall er et nedlagt kjernekraftverk i England.
Kraftverket hadde fire kjernereaktorer med en samlet netto ytelse på 196 MWe.
Calder Hall regnes for å være verdens første kjernekraftverk som var i kommersiell drift.",27.451,4.0816,19.6078,27.451
287,"ACI er en internasjonal organisasjon for reiselivs- og motororganisasjoner.
Organisasjonen ble grunnlagt i 1898.","Alliance Internationale de Tourisme, verdensomfattende reiselivsorganisasjon med hovedkontor i Genève.",8.0,0.0,8.0,8.0
288,"Øivind Bergh var en norsk fiolinist, dirigent og programleder.
Han var sjefdirigent for Kringkastingsorkesteret fra 1946 til 1976.","Øivind Bergh var en norsk dirigent, fiolinist og formidler.
Bergh var den første sjefdirigenten for Kringkastingsorkesteret og var selv ofte programleder når orkesteret opptrådte på radio og fjernsyn.",48.9796,21.2766,40.8163,44.898
289,"Blå ridderhatt er en art av stilksporesopp i slekten Lepista.
Den er en av de giftigste matsoppene i Norge.","Blå ridderhatt er en skivesopp med blåaktig hatt og skiver, som er utrandete og lett skilles fra hattkjøttet.
Lukten er egenartet, noen sammenlikner med brent gummi.",21.2766,13.3333,21.2766,21.2766
290,"Ambon er en by i Indonesia, hovedstad i provinsen Ambon.
Byen ligger på øya Ambon i den sørlige delen av Sumatra.","Ambon er den største byen på øya Ambon og provinshovedstad for Maluku (Molukkene), på halvøya Leitimor i Indonesia.
Byen har 347 288 innbyggere (2020).
I perioden fra 2015 til 2020 ble antall innbyggere redusert med 15,3 prosent.",32.2581,13.3333,22.5806,29.0323
291,Bakenforliggende faktor er en variabel som påvirker de undersøkte årsaksvariablene og virkningsvariablene.,"Bakenforliggende faktorer er en type feilkilde innen forskning.
Hvis man ikke er oppmerksom på en bakenforliggende faktor, kan det føre til at man tar feil i vitenskapelig studier av årsaker og virkninger (årsaksforskning).
En bakenforliggende faktor er noe som samvarierer med de undersøkte årsakene og virkningene, men uten selv å inngå i den undersøkte årsakskjeden.",28.169,14.4928,25.3521,28.169
292,Arhat er en religiøs skikkelse som i buddhismen blir ansett som en av Buddhas disipler.,"Arhat er i theravada-buddhismen personer som har nådd nirvana idet han eller hun har utviklet fullkommen frihet fra alt begjær og all tilknytning til verden og har vunnet den samme oppvåkningen, bodhi, som Buddha selv.
De er oftest menn, men det finnes også enkelte kvinner.",21.5385,3.1746,18.4615,18.4615
293,"François Billetdoux var en fransk dramatiker.
Han skrev skuespill og romaner i forskjellige sjangere.","Francǫis Billetdoux var en fransk forfatter.
Han skrev flere romaner, blant annet Royal garden blues (1957), men er mest kjent som skuespillforfatter.
Av hans skuespill kan nevnes A la Nuit la nuit (1955), Va donc chez Törpe (1957), Il faut passer par les nuages (1964) og Rintru pa trou tar, hin!
(1971).",26.087,11.9403,23.1884,26.087
294,"Amund Djuve er en norsk journalist og redaktør.
Han er sjefredaktør i Dagens Næringsliv siden 1999.","Amund Djuve er en norsk medieleder som fra 1999 til 2021 var sjefredaktør og administrerende direktør i Dagens Næringsliv.
Han er fra 2021 konserndirektør for publikasjoner i NHST Media Group.",60.3774,39.2157,41.5094,56.6038
295,"José Bocage var en portugisisk lyriker.
Han var en av de mest betydningsfulle poetene i Portugal på 1500-tallet.","Manuel Maria Barbosa Bocage var en portugisisk lyriker som levde på slutten av 1700-tallet.
Han markerte seg som en av de viktigste lyrikerne i den portugisiske 1700-talls-klassisismen (den såkalte «arkadismen».
På grunn av den sterkt personlige tonen som preger tekstene hans, fikk han også stor betydning for de etterfølgende romantikerne.",32.4324,16.6667,29.7297,32.4324
296,"Borgerskole var en skole som ble opprettet i byer i Norge i perioden 1739–1814.
Skolen var i første rekke myntet på arbeiderklassen.",Borgerskole var skoler opprettet i byene i Norge fra slutten av 1700-tallet under innflytelse av opplysningstidens ideer for å skaffe byenes borgerstand en høyere skolegang som passet bedre for dens behov enn latinskolens undervisning.,27.1186,10.5263,20.339,20.339
297,Overhet er en heteventil i en dampkjele for å regulere trykket i dampkjelen ved høyt trykk (over 100 atm) og høy temperatur (over 565 °C).,"En dampoverheter tjener til å øke damptemperaturen over metningstemperaturen (se metningstrykk) uten trykkøkning i en dampkjele.
Overhetningstemperaturen velges avhengig av damptrykket; ved 20 atm brukes normalt ca.
350 °C, ved 100 atm 450 °C til maksimum ca.
565 °C.",33.8462,12.6984,27.6923,27.6923
298,"Austin er en by i delstaten Texas i USA.
Byen er administrasjonssenter for delstaten.","Austin er en by og hovedstaden i delstaten Texas i USA.
Byen har 964 254 innbyggere (U.S. Census, 2018) og Austin-Round Rock danner en større byregion (metropolitan area) med rundt 2,1 millioner innbyggere.",39.2157,32.6531,39.2157,39.2157
299,"Birkenhead er en by i Storbritannia, England, i grevskapet Lancashire, ved elven Mersey.
Byen ligger ved munningen av den engelske kanalen Mersey, og er en av Liverpools største byer.","Birkenhead er en havneby og et bebygget område i Storbritannia, Cheshire, ved elven Merseys venstre bredd, like overfor Liverpool, på halvøya Wirral.
Birkenhead hadde 88 818 innbyggere i 2011, mens hele området hadde 142 968.",32.3529,15.1515,26.4706,29.4118
300,"Amerikansk Samoa er en øygruppe i Stillehavet i USA.
Øygruppen omfatter øyene Tutuila, Aunu'u og Manu'a-gruppen (Ofu, Olosega, Swains Island).","Amerikansk Samoa er en amerikansk øygruppe i sørlige Stillehavet.
Den utgjør den østlige del av Samoaøyene; i alt seks øyer på 218 km2 med 66 430 innbyggere (2010), de fleste polynesiere.
Hovedstad er Pago Pago på øya Tutuila.
American Samoa er, sammen med Jarvisøya, USAs eneste territorium sør for ekvator.",28.2051,10.5263,23.0769,28.2051
301,"Eliade var en rumensk religionshistoriker.
Han var professor i religionshistorie ved Universitetet i Bucureşti i perioden 1976–1984.","Var en rumensk forfatter og en av 1900-tallets betydeligste religionshistorikere.
Han studerte filosofi i Bucureşti og deretter filosofi og yoga i India 1928–1932.
Som professor ved universitetet i Bucureşti innledet han et skjønnlitterært forfatterskap inspirert av franske symbolister samt indisk religion og mytologi.
Under den annen verdenskrig var han knyttet til den rumenske utenrikstjenesten i London og Lisboa, og han var uavhengig forsker i Paris 1945–1957.
Professor i religionshistorie ved University of Chicago fra 1957.",27.7228,20.202,21.7822,27.7228
302,"Bleikrublom er en flerårig urt i korsblomstfamilien.
Den er svært vanlig i Sør-Norge, og kategoriseres som sårbar (VU) på fastlandet.","Bleikrublom er en flerårig urt i korsblomstfamilien.
Den lever i arktiske og alpine strøk på begge sider av Nord-Atlanteren.",51.0638,35.5556,51.0638,51.0638
303,"Blokkebær er ein fleirårig urt i bærlyngslekta Vaccinium uliginosum.
Plantene blir opptil 1,5 meter høge og har eit tjukt, mørkt skall.","Blokkebær er ein busk i bærlyngslekta i lyngfamilien.
Busken blir 40–70 centimeter høg, har raudaktige blomar og feller blada om hausten.
Busken er utbreidd i myrlendt mark over heile landet.
Bæra er lyseblå og saftige som blåbær, men kvite innvendig.",29.7297,13.8889,27.027,29.7297
304,"Enhetsregisteret er et sentralt register for registrering av juridiske personer i Brønnøysundregistrene.
Registeret ble opprettet i 1994 for å lette arbeidet for virksomheter som har registreringsplikt og etatene som behandler opplysningene.","Enhetsregisteret er et nasjonalt register som registrerer viktige opplysninger om virksomheter i Norge.
Det administreres av Brønnøysundregistrene.
Virksomheter som registreres her får tildelt et unikt organisasjonsnummer, som brukes til å identifiserer virksomheten.
Opplysningene brukes av andre registere, og på denne måten samordnes opplysninger.
Det er gratis å registrere en virksomhet i Enhetsregisteret.
Opplysningene er offentlig tilgjengelig på nett.",32.6087,11.1111,26.087,30.4348
305,"John Coltrane var en amerikansk saksofonist og komponist.
Han var en av de ledende tenoristene i sin generasjon.",John Coltrane var en amerikansk jazzmusiker (tenor- og sopransaksofonist) og komponist som regnes som en av jazzens største stilskapere.,47.3684,33.3333,47.3684,47.3684
306,Eklogitt er en metamorf bergart som består av granater og granater i en lysegrønn grunnmasse.,"Eklogitt er en metamorf bergart uten plagioklaser som i hovedsak består av to mineraler: dyp rød granat (pyrop-almandin) og gressgrønn natrium- og aluminiumrik pyroksen (omfacitt).
Disse mineralene krever høyt trykk for å dannes (se metamorfe facies).
Kyanitt, rutil og kvarts kan opptre i enkelte eklogitter, og coesitt, en høytrykksmodifikasjon av SiO2, er også påvist.",36.3636,16.0,33.7662,36.3636
307,"Christian Blædel var en dansk redaktør.
Han var sjefredaktør i Dagens Nyheder fra 1933 til 1940.","Nicolay Gottlieb Blædel var en dansk avisredaktør og forfatter.
Han var kjent som en av Nordens ledende utenrikspolitiske og mest kompromissløse antinazistiske skribenter.",35.5556,23.2558,35.5556,35.5556
308,"Aksjeeierregister er et register over aksjeeiere i et aksjeselskap.
Registeret inneholder opplysninger om selskapets navn, aksjekapital, aksjonærenes navn, fødselsnummer og adresse.","Aksjeeierregister er et register over aksjonærene, eierne, i et allmennaksjeselskap eller aksjeselskap.
Registeret skal føres av alle selskap som er registrert i et verdipapirregister.
Aksjeselskap som ikke er registrert i et verdipapirregister skal føre aksjeeierbok.",39.3443,23.7288,32.7869,39.3443
309,"Pieter Bouts var en belgisk maler.
Han var elev av Pieter van de Velde i Antwerpen.","Dieric Bouts var en flamsk maler.
Han var antagelig elev av Roger van der Weyden og var virksom i Leuven.
Han hører ved siden av brødrene van Eyck, Flémallemesteren og Roger van der Weyden til den generasjon som grunnla det nederlandske maleri.",32.7869,16.9492,32.7869,32.7869
310,"Poul Hansen Egede var en dansk-grønlandsk misjonær.
Han var sønn av Hans Egede.","Poul Hansen Egede var misjonær på Grønland, senere prest, prost og til slutt biskop.
Poul og broren Niels Egede var født i Norge, men vokste opp på Grønland.
Oppveksten ga brødrene gode kunnskaper til grønlandsk språk og kultur.",32.2581,16.6667,22.5806,32.2581
311,Benins økonomi er svært sårbar overfor endringer i forholdet til nabolandene Nigeria og Ghana.,"Benin er primært et jordbruksland med beskjedne naturressurser.
En relativt høy del av befolkningen bor i byer og tettsteder, blant annet på grunn av en betydelig offentlig tjenestesektor og en viss grad av industriproduksjon, i hovedsak ved kysten.
Benin er et fattig land, og om lag 1/3 av befolkningen lever under fattigdomsgrensen.
Etter mange år med lav økonomisk vekst, fant det sted et oppsving i 1990-årene, som følge av økonomiske reformer, som også medførte økte utenlandsinvesteringer.",10.2041,0.0,10.2041,10.2041
312,"Constanţa er en by i Romania, i regionen Dobrudsja, ved Svartehavet.
Byen ligger ved munningen av Donau.","Constanța er en by i Romania, Dobrudsja, ved Svartehavet, cirka 230 kilometer øst for Bucureşti, med 310 200 innbyggere (2020).",50.0,42.1053,50.0,50.0
313,"DNA-sekvensering er en metode for å få tilgang til den genetiske koden i en organisme.
Metoden brukes blant annet til å finne forskjeller i baserekkefølgen (DNA-sekvens) blant ulike organismer.",DNA-sekvensering er ulike metoder som brukes for å kunne lese av rekkefølgen på bokstavene (baseparene) i arvestoffet DNA.,40.8163,8.5106,28.5714,36.7347
314,"Bergskrinneblom er en flerårig urt i korsblomstfamilien.
Den finnes i hele Norge.","Bergskrinneblom er en toårig eller flerårig art i korsblomstfamilien.
Den blir 20–60 centimeter høy og har hele blad som ofte er svakt tannet.
Blomstene er hvite.",41.8605,24.3902,41.8605,41.8605
315,"Niels Christian Dahl var en norsk maler.
Han var en av de mest betydningsfulle norske landskapsmalerne på 1800-tallet.","Johan Christian Clausen Dahl er kjent som grunnleggeren av vår nasjonale malerkunst.
Han var den første store tolkeren av norsk natur og 1800-tallets fremste norske landskapsmaler.
Han var professor ved kunstakademiet i Dresden fra 1824, men mens han bodde i Tyskland foretok han reiser til Norge fem ganger i tiden mellom 1826 og 1850.
Blant hans kjente malerier er Fra Stalheim fra 1842 og Bjerk i storm fra 1849.",21.978,4.4944,17.5824,19.7802
316,Bill of rights var et lovforslag som ble vedtatt i parlamentet 16. desember 1689.,"Bill of Rights er et engelsk statsrettslig dokument som er en av hovedlovene i den ukodifiserte engelske konstitusjonen.
Dokumentet ble vedtatt i 1689 i forbindelse med revolusjonen som fordrev Jakob 2 fra tronen og innsatte Jakobs svigersønn, Vilhelm 3, og datter, Maria 2, som felles regenter («den ærerike revolusjon»).",28.125,12.9032,28.125,28.125
317,"Barth er en norsk bergverksslekt.
Slekten kom til Norge med Caspar Barth (død 1626), som var bergmester i Kragerø.","Barth er en norsk slekt.
Den første sikkert kjente stamfar for den norske familien var en saksisk bergmann, Georg Barth, hvis sønn Daniel Barth (1607–1656) døde som overbergmester på Kongsberg.
Fra hans sønn stempelskjærer Caspar Barth (1651–1708) og fra datteren Anne Marie Barth (1647–1691) utgår flere grener av slekten.",25.641,10.5263,17.9487,20.5128
318,"Creek er et nordamerikansk urfolk i delstaten Oklahoma i USA.
De snakker algonkin-språket.","Creek er en urfolksgruppe i USA som opprinnelig var bosatt i det nordlige Alabama og Georgia.
De kalles også Ochese Creek, etter elven der de først ble påtruffet av europeiske kolonister.
I 1990 oppgav creeknasjonens registreringskontor at det var cirka 30 000 creek i USA, hvorav 16 000 holdt til i Oklahoma.",20.2899,5.9701,14.4928,17.3913
319,"Chen Duxiu var en kinesisk filosof og politiker.
Han var en av de mest innflytelsesrike politiske tenkerne i Kina på 1900-tallet.","Chen Duxiu var en fremtredende kinesisk politiker, språkforsker, forlegger og revolusjonær.
Chen var blant de mest innflytelsesrike tenkerne i Kinas tidlig moderne historie — først som agitator i revolusjonen som veltet keiserstyret, deretter som lederskikkelse i 4. mai-bevegelsen, og sist som medstifter og første generalsekretær for det kinesiske kommunistpartiet (KKP).",36.3636,18.6667,33.7662,36.3636
320,"Bunad er en drakt som brukes av kvinner og menn i forbindelse med høytids- og festdager.
Bunaden er en del av den norske folkedrakten.","Bunad er fest- og høytidsdrakter som har bakgrunn i en folkedrakt, men med ulik grad av historisk og lokal tilhørighet.
Skillet mellom bunader og andre drakter er ikke alltid åpenbart.",38.5965,3.6364,24.5614,31.5789
321,"Decurio var en romersk tittel som ble brukt i romerske provinsbyer og i provinser i senantikken.
Tittelen ble først brukt om et medlem av byrådet, ordo decurionum eller curia, som var ansvarlig for innbetaling av skatter og avgifter i byen.","En dekurie, eller decuria, var i det gamle Roma opprinnelig en militæravdeling på ti mann.
Senere har uttrykket blitt brukt i forbindelse med bestemte grupper i statssystemet uten hensyn til antall medlemmer.
For eksempel er decuriae judicum, jurymennene, som kunne være mellom to og fem i antall.",26.3736,2.2472,17.5824,24.1758
